,parcel,abstrprd,livearea,finbsmnt,basement,yrbuilt,totunits,stories,nocars,numbdrm,numbaths,sprice,deduct,netprice,tasp,smonth,syear,condition_AVG,condition_Excel,condition_Fair,condition_Good,condition_VGood,quality_A,quality_B,quality_C,quality_D,quality_X,gartype_Att,gartype_Att/Det,gartype_CP,gartype_Det,gartype_None,gartype_att/CP,gartype_det/CP,arcstyle_BI-LEVEL,arcstyle_CONVERSIONS,arcstyle_END UNIT,arcstyle_MIDDLE UNIT,arcstyle_ONE AND HALF-STORY,arcstyle_ONE-STORY,arcstyle_SPLIT LEVEL,arcstyle_THREE-STORY,arcstyle_TRI-LEVEL,arcstyle_TRI-LEVEL WITH BASEMENT,arcstyle_TWO AND HALF-STORY,arcstyle_TWO-STORY,qualified_Q,qualified_U,status_I,status_V,before1980
6590,02252-31-021-000,1114,788,259,273,1926,1,1,1,2,1,149000,4470,144530,144530,4,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
6591,02252-33-001-000,1112,892,792,892,1926,1,1,1,2,1,249800,4800,245000,245666,5,2012,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6592,02252-33-001-000,1112,892,792,892,1926,1,1,1,2,1,100000,0,100000,100000,1,2012,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6593,02252-33-002-000,1112,846,423,846,1931,1,1,2,2,2,180000,5239,174761,175236,5,2012,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6594,02252-33-002-000,1112,846,423,846,1931,1,1,2,2,2,180000,0,180000,180000,3,2012,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6595,02252-33-003-000,1112,873,810,873,1937,1,1,0,2,2,189000,4120,184880,196445,7,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6596,02252-33-009-000,1112,1023,927,976,1938,1,1,2,2,2,205000,0,205000,211691,6,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6597,02252-34-011-000,1112,1102,991,1102,1926,1,1,2,2,2,165000,4000,161000,164065,11,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6598,02252-35-005-000,1112,912,430,477,1901,1,1,0,3,2,206000,2500,203500,209035,8,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6599,02252-35-005-000,1112,912,430,477,1901,1,1,0,3,2,102250,0,102250,102250,12,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6600,02252-35-010-000,1112,882,831,882,1938,1,1,1,2,2,131000,0,131000,134207,9,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6601,02252-35-010-000,1112,882,831,882,1938,1,1,1,2,2,236500,0,236500,238430,3,2012,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6602,02252-35-023-000,1114,1050,0,0,1999,1,1,0,3,2,70000,0,70000,70000,4,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6603,02252-39-011-000,1112,1066,0,574,1912,1,1,0,1,1,114500,3435,111065,112877,12,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6604,02252-39-012-000,1112,982,0,224,1895,1,1,0,2,1,75972,0,75972,75972,10,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6605,02252-39-024-000,1114,723,0,0,1952,1,1,0,2,1,45000,0,45000,45000,12,2010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
6606,02252-40-030-000,1112,656,0,656,1910,1,1,0,1,1,77411,0,77411,77411,8,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6607,02252-41-008-000,1112,916,0,0,1952,1,1,0,2,2,130000,0,130000,136364,12,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6608,02252-41-010-000,1112,872,0,614,1895,1,1,0,2,1,169900,0,169900,170362,5,2012,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6609,02252-41-016-000,1112,720,0,0,1949,1,1,1,2,1,124900,4586,120314,124568,5,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6610,02252-42-009-000,1112,977,230,330,1913,1,1,2,2,1,216500,0,216500,221211,10,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6611,02252-42-012-000,1112,1124,300,382,1911,1,1,3,3,2,257000,0,257000,268883,1,2011,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6612,02252-42-017-000,1112,861,138,578,1911,1,1,1,2,1,159900,0,159900,164684,7,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6613,02252-42-018-000,1112,908,100,344,1911,1,1,2,2,1,216500,0,216500,221800,9,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6614,02252-43-009-000,1112,1247,496,1064,1922,1,1,0,3,2,205000,4000,201000,212480,9,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6615,02252-44-007-000,1112,978,874,978,1929,1,1,2,2,2,223000,3000,220000,232565,9,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6616,02252-44-020-000,1114,1007,957,1007,1925,1,1,1,1,3,239900,4000,235900,235900,8,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
6617,02252-44-021-000,1114,959,911,959,1925,1,1,1,1,3,244000,4605,239395,239395,6,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
6618,02252-47-007-000,1112,1294,0,278,1924,1,1,2,2,3,239900,4000,235900,244882,4,2011,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
6619,02252-47-007-000,1112,1294,0,278,1924,1,1,2,2,3,71000,0,71000,71000,11,2010,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
6620,02252-49-016-000,1112,1183,0,95,1910,1,1,2,3,2,69000,0,69000,69000,7,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6621,02252-49-016-000,1112,1183,0,95,1910,1,1,2,3,2,60100,0,60100,60100,6,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6622,02252-49-019-000,1112,988,939,988,1927,1,1,2,2,2,264990,5770,259220,266270,8,2011,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6623,02252-51-015-000,1112,799,652,799,1927,1,1,2,2,2,227850,0,227850,236526,4,2011,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6624,02252-51-015-000,1112,799,652,799,1927,1,1,2,2,2,110500,0,110500,110500,12,2010,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6625,02252-52-008-000,1112,940,752,940,1928,1,1,1,2,2,175100,0,175100,176052,4,2012,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6626,02252-52-010-000,1112,940,850,940,1928,1,1,2,2,2,213000,2400,210600,219765,2,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6627,02252-52-010-000,1112,940,850,940,1928,1,1,2,2,2,105000,0,105000,105000,7,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6628,02252-52-013-000,1114,801,0,0,1963,1,1,0,2,1,42500,0,42500,42500,8,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
6629,02252-52-014-000,1114,884,0,0,1963,1,1,0,2,1,42500,0,42500,42500,8,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
6630,02252-52-020-000,1114,884,0,0,1963,1,1,0,2,1,42000,0,42000,42000,12,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
6631,02252-52-021-000,1114,884,0,0,1963,1,1,0,2,1,42500,0,42500,42500,2,2012,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
6632,02252-52-024-000,1114,884,0,0,1963,1,1,0,2,1,39000,0,39000,39000,9,2010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
6633,02252-53-011-000,1112,1000,650,761,1954,1,1,1,2,2,220000,4000,216000,216587,5,2012,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6634,02253-02-004-000,1112,776,675,776,1945,1,1,2,2,2,206000,5000,201000,210840,12,2010,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6635,02253-02-006-000,1112,1042,1038,1038,1945,1,1,1,2,2,162000,0,162000,162000,2,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6636,02253-03-012-000,1112,921,550,778,1945,1,1,2,3,2,84200,0,84200,84200,7,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6637,02253-03-012-000,1112,921,550,778,1945,1,1,2,3,2,145000,0,145000,145000,3,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6638,02253-05-005-000,1112,1088,1000,1088,1928,1,1,1,2,2,275000,5000,270000,272937,2,2012,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6639,02253-05-005-000,1112,1088,1000,1088,1928,1,1,1,2,2,135000,0,135000,135000,10,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6640,02253-05-033-000,1112,983,0,146,1896,1,1,0,2,1,194393,0,194393,194393,3,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6641,02253-05-033-000,1112,983,0,146,1896,1,1,0,2,1,85000,0,85000,85000,8,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6642,02253-06-009-000,1112,1044,940,1044,1923,1,1,2,3,2,242700,0,242700,250621,6,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6643,02253-07-009-000,1112,751,600,751,1949,1,1,1,2,2,182000,0,182000,182990,4,2012,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6644,02253-07-014-000,1112,1191,0,370,1894,1,1,2,3,2,201000,5524,195476,203982,2,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6645,02253-08-003-000,1112,1000,900,1000,1986,1,1,2,3,3,230700,0,230700,234465,12,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
6646,02253-08-003-000,1112,1000,900,1000,1986,1,1,2,3,3,69900,0,69900,69900,5,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
6647,02253-11-012-000,1112,1079,0,387,1891,1,1,2,3,2,250000,0,250000,251360,4,2012,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6648,02253-11-012-000,1112,1079,0,387,1891,1,1,2,3,2,94000,0,94000,94000,11,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6649,02253-12-006-000,1112,950,900,950,1927,1,1,2,2,2,286500,3000,283500,293524,5,2011,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6650,02253-12-006-000,1112,950,900,950,1927,1,1,2,2,2,135000,0,135000,135000,10,2010,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6651,02253-12-008-000,1112,440,0,0,1922,1,1,0,1,1,60000,0,60000,60000,12,2010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6652,02253-14-001-000,1112,1426,0,0,1886,1,2,2,4,2,284325,0,284325,302111,7,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
6653,02253-14-012-000,1112,1102,0,0,1951,1,1,2,3,1,205000,1250,203750,207075,12,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6654,02253-15-035-000,1112,669,669,669,1949,1,1,1,2,2,207000,5152,201848,205691,11,2011,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6655,02253-16-008-000,1112,860,682,860,1942,1,1,4,2,2,175000,0,175000,175000,5,2012,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6656,02253-17-015-000,1112,853,597,697,1945,1,1,1,2,2,215000,0,215000,217924,1,2012,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6657,02253-20-015-000,1112,858,747,747,1942,1,1,1,2,2,193000,6755,186245,192324,6,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6658,02253-20-030-000,1114,558,0,175,1942,1,1,0,1,1,65000,0,65000,69379,9,2010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
6659,02253-21-015-000,1112,832,0,0,1951,1,1,2,2,1,195500,4960,190540,202459,7,2010,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6660,02253-21-016-000,1112,919,540,609,1952,1,1,1,2,2,214000,0,214000,222149,4,2011,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6661,02253-22-012-000,1112,605,150,605,1925,1,1,1,1,2,155000,1000,154000,158607,7,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6662,02253-22-022-000,1114,768,0,0,1962,1,1,0,2,1,85000,2548,82452,86420,3,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
6663,02253-24-004-000,1112,931,700,763,1936,1,1,2,2,2,290000,3000,287000,289342,3,2012,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6664,02253-24-004-000,1112,931,700,763,1936,1,1,2,2,2,163500,0,163500,167502,9,2011,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6665,02253-24-015-000,1112,1018,950,1000,1909,1,1,2,2,2,320000,0,320000,320870,5,2012,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6666,02253-24-016-000,1112,1100,550,1100,1926,1,1,1,2,1,171200,0,171200,173063,2,2012,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6667,02253-24-017-000,1112,1548,0,524,1906,1,1,2,3,3,320000,0,320000,336536,11,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6668,02253-24-029-000,1112,1213,0,288,1912,1,1,2,3,2,244900,2500,242400,247015,11,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6669,02253-24-029-000,1112,1213,0,288,1912,1,1,2,3,2,137900,0,137900,137900,5,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6670,02253-25-011-000,1112,892,0,0,1952,1,1,0,2,1,119000,4000,115000,116877,12,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6671,02253-26-017-000,1112,1153,0,346,1902,1,2,2,2,1,162000,0,162000,162000,4,2012,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
6672,02253-26-024-000,1114,748,378,420,1905,1,1,1,1,1,162000,4000,158000,161548,11,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
6673,02253-30-005-000,1112,1588,0,818,1914,1,2,0,4,3,280000,0,280000,286854,9,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
6674,02253-30-031-000,1114,864,0,0,1953,1,1,2,2,1,165500,3359,162141,165262,12,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
6675,02253-33-001-000,1112,1044,900,1044,1926,1,1,1,2,2,320000,3000,317000,327346,6,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6676,02253-33-004-000,1112,870,775,870,1929,1,1,1,2,2,211000,4000,207000,214319,5,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6677,02253-33-013-000,1112,992,732,992,1925,1,1,1,2,2,180000,6000,174000,184411,8,2010,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6678,02253-33-014-000,1112,745,560,745,1925,1,1,1,2,1,150000,0,150000,153672,9,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6679,02253-34-005-000,1112,838,762,838,1926,1,1,1,2,2,280500,3904,276596,277348,5,2012,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6680,02253-34-005-000,1112,838,762,838,1926,1,1,1,2,2,213000,0,213000,213000,8,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6681,02253-34-018-000,1112,916,806,906,1924,1,1,2,2,2,316000,4000,312000,313697,4,2012,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6682,02253-34-018-000,1112,916,806,906,1924,1,1,2,2,2,210000,0,210000,210000,11,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6683,02253-35-008-000,1112,965,0,0,1946,1,1,1,2,2,210000,5000,205000,215594,11,2010,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6684,02253-38-001-000,1112,1126,950,1062,1930,1,1,1,2,2,295000,0,295000,302221,9,2011,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6685,02253-38-001-000,1112,1126,950,1062,1930,1,1,1,2,2,291000,0,291000,291000,10,2010,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6686,02253-38-018-000,1112,761,381,761,1944,1,1,3,2,1,170000,0,170000,172774,12,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6687,02253-39-002-000,1112,1437,790,890,1925,1,2,1,4,3,165000,0,165000,169488,8,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
6688,02253-39-002-000,1112,1437,790,890,1925,1,2,1,4,3,357000,4000,353000,354920,4,2012,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
6689,02253-39-003-000,1112,1253,887,887,1925,1,1,1,2,2,297500,5000,292500,302046,6,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6690,02253-39-004-000,1112,890,800,890,1925,1,1,1,2,2,160000,0,160000,163917,9,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6691,02253-39-004-000,1112,890,800,890,1925,1,1,1,2,2,315400,0,315400,318831,2,2012,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6692,02253-39-011-000,1112,994,933,994,1926,1,1,3,2,2,165100,0,165100,165100,11,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6693,02253-39-016-000,1112,994,775,871,1927,1,1,2,2,2,306700,0,306700,325886,7,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6694,02253-40-015-000,1112,1108,907,1007,1922,1,1,3,2,2,329500,0,329500,329500,6,2012,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6695,02253-40-015-000,1112,1108,907,1007,1922,1,1,3,2,2,160000,0,160000,160000,11,2011,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6696,02253-44-006-000,1112,1185,752,941,1910,1,1,2,2,2,203500,4900,198600,206702,3,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6697,02253-47-003-000,1112,1593,684,720,1910,1,2,1,3,2,309900,2000,307900,326323,8,2010,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
6698,02253-48-027-000,1112,2194,620,719,2011,1,2,2,3,4,470000,1000,469000,471551,4,2012,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
6699,02253-48-028-000,1112,2094,575,651,2011,1,2,2,3,4,476000,7000,469000,472827,3,2012,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
6700,02253-50-006-000,1112,872,750,872,1929,1,1,1,2,2,315000,5000,310000,326020,11,2010,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6701,02253-50-015-000,1112,1339,536,1071,1925,1,1,1,3,2,329500,0,329500,346527,11,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6702,02253-50-017-000,1112,1046,250,1046,1925,1,1,1,2,2,329000,0,329000,348686,8,2010,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
6703,02253-51-005-000,1112,1062,800,1062,1949,1,1,3,2,2,267000,5732,261268,277612,7,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
