,parcel,nbhd,abstrprd,livearea,finbsmnt,basement,yrbuilt,condition,quality,totunits,stories,gartype,nocars,xtraffic,floorlvl,numbdrm,numbaths,arcstyle,sprice,deduct,netprice,tasp,smonth,syear,qualified,status
27,00141-22-010-000,5,1112,1754,0,0,2004,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,124000,2000,122000,122000,11,2011,Q,I
28,00141-23-001-000,5,1112,1508,0,0,2004,Good,C,1,2,Att,2,,,3,3,TWO-STORY,160000,5000,155000,155000,11,2011,Q,I
29,00141-23-004-000,5,1112,1508,0,0,2004,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,127000,0,127000,127000,1,2012,U,I
30,00141-23-004-000,5,1112,1508,0,0,2004,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,143500,4300,139200,139200,5,2012,Q,I
31,00141-23-005-000,5,1112,1731,0,0,2004,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,136500,4095,132405,132405,1,2011,Q,I
32,00141-23-008-000,5,1112,1508,0,0,2004,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,134500,4035,130465,130465,1,2011,Q,I
33,00141-23-011-000,5,1112,1508,0,0,2004,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,142900,0,142900,142900,10,2011,U,I
34,00141-23-017-000,5,1112,1731,0,0,2004,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,160000,4860,155140,155140,2,2011,Q,I
35,00141-23-025-000,5,1112,1731,0,0,2004,AVG,C,1,2,Att,2,,,3,2,TWO-STORY,132000,3960,128040,128040,7,2011,Q,I
36,00141-24-005-000,5,1112,1754,0,0,2004,AVG,C,1,2,Att,2,,,4,2,TWO-STORY,149000,1490,147510,147510,7,2010,Q,I
37,00141-25-003-000,5,1112,1754,0,0,2004,Good,C,1,2,Att,2,,,3,3,TWO-STORY,168500,4000,164500,164500,5,2011,Q,I
38,00141-26-017-000,5,1112,1754,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,162000,0,162000,162000,5,2012,Q,I
39,00141-27-001-000,5,1112,1509,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,129950,0,129950,129950,12,2010,U,I
40,00141-27-003-000,5,1112,1509,0,0,2005,Good,C,1,2,Att,2,,,3,3,TWO-STORY,164700,0,164700,164700,5,2012,U,I
41,00141-27-014-000,5,1112,1509,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,193263,0,193263,193263,10,2011,U,I
42,00141-27-014-000,5,1112,1509,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,137900,3000,134900,134900,12,2011,Q,I
43,00141-28-006-000,5,1112,1509,0,0,2005,AVG,C,1,2,Att,2,,,3,2,TWO-STORY,127000,0,127000,127000,9,2010,Q,I
44,00141-29-007-000,5,1112,1509,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,125000,4000,121000,121000,7,2011,Q,I
45,00141-29-008-000,5,1112,1509,0,0,2005,AVG,C,1,2,Att,2,,,3,2,TWO-STORY,155000,3317,151683,151683,3,2012,Q,I
46,00141-30-002-000,5,1112,2854,0,0,2005,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,180000,2700,177300,177300,1,2011,Q,I
47,00141-31-006-000,5,1112,2855,0,1205,2004,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,186000,0,186000,186000,5,2012,Q,I
48,00141-31-010-000,5,1112,3126,0,1357,2005,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,235215,5500,229715,229715,9,2010,Q,I
49,00141-32-017-000,5,1112,1834,0,1834,2005,AVG,C,1,1,Att,2,,,3,2,ONE-STORY,155000,0,155000,155000,2,2012,U,I
50,00141-33-002-000,5,1112,3305,0,1500,2005,Good,C,1,2,Att,2,,,3,3,TWO-STORY,275000,4000,271000,271000,6,2012,Q,I
51,00141-33-016-000,5,1112,3305,0,1500,2005,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,234900,4396,230504,230504,9,2011,Q,I
52,00141-34-012-000,5,1112,3305,0,1500,2005,AVG,C,1,2,Att,2,,,5,3,TWO-STORY,222000,4440,217560,217560,7,2010,Q,I
53,00141-35-018-000,5,1112,2927,328,1314,2005,AVG,C,1,2,Att,2,,,4,4,TWO-STORY,200000,5800,194200,194200,2,2011,Q,I
54,00141-36-002-000,5,1112,1960,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,181500,0,181500,181500,9,2010,Q,I
55,00141-36-003-000,5,1112,2042,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,153100,2990,150110,150110,5,2011,Q,I
56,00141-36-004-000,5,1112,1960,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,142000,0,142000,142000,11,2011,Q,I
57,00141-36-006-000,5,1112,2042,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,164800,0,164800,164800,11,2010,U,I
58,00141-36-006-000,5,1112,2042,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,189000,0,189000,189000,5,2012,Q,I
59,00141-36-008-000,5,1112,2079,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,163000,1630,161370,161370,9,2010,Q,I
60,00141-36-013-000,5,1112,1960,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,182750,4500,178250,178250,11,2010,Q,I
61,00141-36-023-000,5,1112,2042,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,166200,0,166200,166200,8,2011,U,I
62,00141-36-028-000,5,1112,1982,0,0,2005,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,165000,0,165000,165000,7,2010,Q,I
63,00141-36-045-000,5,1112,2588,0,0,2006,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,140000,0,140000,140000,11,2010,Q,I
64,00141-36-048-000,5,1112,2588,0,1133,2006,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,205500,6000,199500,199500,11,2011,Q,I
65,00141-36-053-000,5,1112,2855,0,1339,2006,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,192300,0,192300,192300,8,2010,Q,I
